symbol_color
#49a4d8 
﻿organization,station,location,,,latitude,longitude,begin,end,components,type,analog_type,digital_type,url
JMA,FUN,Funatsu,Chubu,Japan,35.4983,138.7633,19520120,19701207,,,,tiff,http://www.susu.adep.or.jp
JMA,NGN,Nagano,Chubu,Japan,36.66,138.1967,18910427,19690909,,,,tiff,http://www.susu.adep.or.jp
JMA,MTM,Matsumoto,Chubu,Japan,36.2433,137.9733,18980526,19700725,,,,tiff,http://www.susu.adep.or.jp
JMA,IID,Iida,Chubu,Japan,35.51,137.835,19230601,19710104,,,,tiff,http://www.susu.adep.or.jp
JMA,KAZ,Karuizawa,Chubu,Japan,36.34,138.5517,19260401,19700807,,,,tiff,http://www.susu.adep.or.jp
JMA,MAT,Matsushiro,Chubu,Japan,36.5417,138.2089,19750708,19951230,,,,tiff,http://www.susu.adep.or.jp
JMA,GIF,Gifu,Chubu,Japan,35.3983,136.765,18880618,19950331,,,,tiff,http://www.susu.adep.or.jp
JMA,TKY,Takayama,Chubu,Japan,36.1517,137.255,19050707,19950317,,,,tiff,http://www.susu.adep.or.jp
JMA,SHZ,Shizuoka,Chubu,Japan,34.9733,138.4067,19410209,19900220,,,,tiff,http://www.susu.adep.or.jp
JMA,NUM,Numazu,Chubu,Japan,35.1,138.85,19060121,19400714,,,,tiff,http://www.susu.adep.or.jp
JMA,MIS,Mishima,Chubu,Japan,35.1117,138.93,19300531,19701208,,,,tiff,http://www.susu.adep.or.jp
JMA,HMM,Hamamatsu,Chubu,Japan,34.7083,137.7233,19400801,19900923,,,,tiff,http://www.susu.adep.or.jp
JMA,AJI,Ajiro,Chubu,Japan,35.0433,139.0967,19500426,19901006,,,,tiff,http://www.susu.adep.or.jp
JMA,NGT,Irozaki,Chubu,Japan,34.6,138.8467,19500207,19920309,,,,tiff,http://www.susu.adep.or.jp
JMA,OMA,Omaezaki,Chubu,Japan,34.6017,138.2167,19321201,19740303,,,,tiff,http://www.susu.adep.or.jp
JMA,ITO,Ito,Chubu,Japan,34.9667,139.1,19350531,19490714,,,,tiff,http://www.susu.adep.or.jp
JMA,KTJ,Kamata,Chubu,Japan,34.9433,139.0867,19830607,19831017,,,,tiff,http://www.susu.adep.or.jp
JMA,NAG,Nagoya,Chubu,Japan,35.165,136.9683,18911028,19950331,,,,tiff,http://www.susu.adep.or.jp
JMA,TSU,Tsu,Kinki,Japan,34.7017,136.5183,18990307,19901207,,,,tiff,http://www.susu.adep.or.jp
JMA,OWA,Owase,Kinki,Japan,34.0667,136.195,19430304,19950116,,,,tiff,http://www.susu.adep.or.jp
